time_s,vehicle_id,x_m,y_m,speed_mps,lane_id,edge_id,warning_received
6.9,5,509.8574033628872,307.4367668420389,3.9368087268674357,:6789341865_3_0,:6789341865_3,False
7.0,1,619.2908215775258,435.6388534333022,11.909915898226474,:6789351759_1_0,:6789351759_1,False
7.0,2,591.3520538611087,372.294193340207,10.40890154831259,466112794#6_0,466112794#6,False
7.0,3,583.3485867006208,439.3669260936711,8.244726252332098,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
7.0,4,752.5427766859789,451.01397740681864,6.566599251701984,1278204168#0_0,1278204168#0,False
7.0,5,509.7067480144395,307.0500098281133,4.152488466345945,:6789341865_3_0,:6789341865_3,False
7.1,1,618.498614952693,434.73048992993375,12.058588181790702,:6789351759_1_0,:6789351759_1,False
7.1,2,592.0384703372963,373.10450811474226,10.62092039450685,466112794#6_0,466112794#6,False
7.1,3,582.9078618997254,440.09046215803465,8.47237214900763,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
7.1,4,752.2357417496462,451.60942463171256,6.699378159793115,1278204168#0_0,1278204168#0,False
7.1,5,509.4847575179245,306.68634093245663,4.291172830004484,:6789341865_3_0,:6789341865_3,False
7.2,1,617.6915315931404,433.80506839846373,12.285034681796834,:6789351759_1_0,:6789351759_1,False
7.2,2,592.7352320409401,373.92703543216453,10.780992072691754,466112794#6_0,466112794#6,False
7.2,3,582.4601675970066,440.8254400244245,8.606351931905143,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
7.2,4,751.9224520668088,452.2170019792992,6.835854199390879,1278204168#0_0,1278204168#0,False
7.2,5,509.2202083084847,306.31850881248215,4.5328772561352295,:6789341865_3_0,:6789341865_3,False
7.3,1,616.8700325391242,432.8633358732033,12.499102862142763,817119562#4_0,817119562#4,False
7.3,2,593.4478268062736,374.7682536817807,11.025976996043775,466112794#6_0,466112794#6,False
7.3,3,582.0012580845068,441.5788298538565,8.821950034848184,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
7.3,4,751.6020824548503,452.83830976485467,6.990335390010869,1278204168#0_0,1278204168#0,False
7.3,5,508.9420410474577,305.93174200434186,4.766213641616755,:6789341865_3_0,:6789341865_3,False
7.4,1,616.035617133596,431.90714428042014,12.687090529325223,817119562#4_0,817119562#4,False
7.4,2,594.1748103753737,375.626457916851,11.248614920218554,466112794#6_0,466112794#6,False
7.4,3,581.5350478624956,442.34420522759274,8.962296863090948,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
7.4,4,751.2705515476899,453.4812631726758,7.233870338196421,1278204168#0_0,1278204168#0,False
7.4,5,508.6523945161602,305.52901429301727,4.962903411493875,:6789341865_3_0,:6789341865_3,False
7.5,1,615.1882573210797,430.9361191490258,12.88390720147713,817119562#4_0,817119562#4,False
7.5,2,594.9177883736136,376.5035435784195,11.496096681718793,466112794#6_0,466112794#6,False
7.5,3,581.0557874002723,443.1310051261635,9.213171085475247,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
7.5,4,750.9281291615007,454.1453389356277,7.471518006587421,1278204168#0_0,1278204168#0,False
7.5,5,508.35430682701116,305.1145499033101,5.107537116965517,:6789341865_3_0,:6789341865_3,False
7.6,1,614.3271855066135,429.9493808597753,13.092394974979841,817119562#4_0,817119562#4,False
7.6,2,595.6771436674346,377.3999626403894,11.749502534693185,466112794#6_0,466112794#6,False
